Date,Open,High,Low,Close,Adj Close,Volume
2021-12-28,131.600006,133.220001,131.589996,132.630005,131.051422,3445200
2021-12-29,132.399994,134.210007,132.300003,133.350006,131.762848,4239900
2021-12-30,133.750000,134.369995,133.330002,133.910004,132.316193,3158100
2021-12-31,134.000000,134.990005,133.610001,133.660004,132.069168,3362100
2022-01-03,134.070007,136.289993,133.630005,136.039993,134.420822,4605900
2022-01-04,136.100006,139.949997,135.899994,138.020004,136.377274,7300000
2022-01-05,138.309998,142.199997,137.880005,138.220001,136.574890,8956900
2022-01-06,138.199997,138.410004,132.509995,135.339996,133.729156,9908100
2022-01-07,134.899994,135.660004,133.509995,134.830002,133.225235,5238100
2022-01-10,134.470001,136.199997,133.380005,135.029999,133.422852,5432800
2022-01-11,130.520004,133.250000,127.970001,132.869995,131.288559,11105300
2022-01-12,133.250000,134.470001,131.369995,133.589996,131.999985,5352000
2022-01-13,133.899994,136.050003,133.559998,134.759995,133.156067,4868300
2022-01-14,134.550003,135.139999,133.300003,134.210007,132.612625,5310300
2022-01-18,132.949997,133.889999,131.779999,132.940002,131.357727,5246700
2022-01-19,132.899994,133.899994,131.500000,131.580002,130.013916,4103700
2022-01-20,131.259995,132.880005,130.570007,130.820007,129.262970,5278200
2022-01-21,131.649994,131.869995,129.270004,129.350006,127.810463,5907000
2022-01-24,127.989998,129.149994,124.190002,128.820007,127.286774,13484000
2022-01-25,129.139999,137.339996,128.300003,136.100006,134.480118,19715700
2022-01-26,136.470001,137.070007,133.130005,134.259995,132.662018,8336000
2022-01-27,133.660004,134.750000,132.080002,132.520004,130.942734,5497300
2022-01-28,133.190002,134.529999,131.789993,134.500000,132.899155,5471500
2022-01-31,134.089996,134.089996,132.300003,133.570007,131.980240,5859000
2022-02-01,133.759995,135.960007,132.500000,135.529999,133.916901,6206400
2022-02-02,135.699997,137.559998,135.259995,137.250000,135.616425,5357200
2022-02-03,137.000000,138.759995,135.830002,137.779999,136.140121,6100800
2022-02-04,137.860001,138.820007,136.220001,137.149994,135.517609,4142000
2022-02-07,137.449997,137.820007,136.270004,137.240005,135.606552,3759000
2022-02-08,137.229996,137.520004,135.779999,137.020004,135.389175,4181800
2022-02-09,137.839996,138.350006,136.830002,137.789993,136.149994,5393500
2022-02-10,135.470001,136.559998,133.169998,133.520004,133.520004,5978600
2022-02-11,133.899994,134.710007,132.380005,132.690002,132.690002,4176200
2022-02-14,132.589996,132.649994,129.070007,130.149994,130.149994,5345300
2022-02-15,130.639999,131.679993,129.610001,129.940002,129.940002,4394000
2022-02-16,129.449997,130.440002,128.259995,129.179993,129.179993,4875600
2022-02-17,128.050003,128.500000,124.849998,124.970001,124.970001,6797000
2022-02-18,124.940002,125.440002,123.610001,124.349998,124.349998,4609200
2022-02-22,124.199997,125.000000,122.680000,123.919998,123.919998,5349700
2022-02-23,124.379997,124.699997,121.870003,122.070000,122.070000,4086400
2022-02-24,120.000000,122.099998,118.809998,121.970001,121.970001,6563200
2022-02-25,122.050003,124.260002,121.449997,124.180000,124.180000,4460900
2022-02-28,122.209999,123.389999,121.040001,122.510002,122.510002,6757300
2022-03-01,122.669998,123.389999,120.699997,121.349998,121.349998,4873300
2022-03-02,122.589996,124.639999,121.800003,123.860001,123.860001,4891400
2022-03-03,124.959999,126.669998,124.239998,125.930000,125.930000,5206600
2022-03-04,124.400002,127.349998,124.209999,126.620003,126.620003,4402400
2022-03-07,126.470001,127.910004,125.620003,126.070000,126.070000,5047400
2022-03-08,126.620003,128.350006,124.820000,125.680000,125.680000,4887600
2022-03-09,127.410004,128.100006,125.910004,126.220001,126.220001,4403500
2022-03-10,125.750000,126.029999,123.129997,124.349998,124.349998,5326800
2022-03-11,125.000000,126.769997,123.910004,123.959999,123.959999,4119600
2022-03-14,124.449997,125.160004,122.690002,123.940002,123.940002,3289200
2022-03-15,124.000000,125.940002,123.220001,125.639999,125.639999,4021200
2022-03-16,126.500000,127.279999,124.709999,127.040001,127.040001,4292800
2022-03-17,127.099998,128.289993,126.529999,127.959999,127.959999,3671900
2022-03-18,127.379997,128.929993,126.370003,128.759995,128.759995,7466000
2022-03-21,129.000000,129.740005,127.400002,128.100006,128.100006,3384600
2022-03-22,128.500000,129.300003,127.849998,129.059998,129.059998,2690200
2022-03-23,129.080002,129.320007,128.250000,128.300003,128.300003,2924500
2022-03-24,128.330002,129.369995,127.800003,129.250000,129.250000,2971100
2022-03-25,129.500000,131.399994,129.309998,131.350006,131.350006,3530200
2022-03-28,130.820007,131.500000,129.600006,131.470001,131.470001,2483500
2022-03-29,132.039993,132.839996,130.429993,131.940002,131.940002,5791000
2022-03-30,132.009995,133.080002,131.389999,132.130005,132.130005,2622900
2022-03-31,130.720001,131.880005,130.000000,130.020004,130.020004,4274000
2022-04-01,129.660004,130.270004,128.059998,130.149994,130.149994,4011500
2022-04-04,130.259995,130.449997,128.929993,130.270004,130.270004,2809800
2022-04-05,129.850006,131.229996,128.660004,128.889999,128.889999,3107200
2022-04-06,127.779999,129.509995,127.250000,129.389999,129.389999,3958100
2022-04-07,128.869995,129.250000,126.730003,128.550003,128.550003,3538300
2022-04-08,128.009995,128.779999,127.269997,127.730003,127.730003,3142400
2022-04-11,127.949997,128.179993,126.180000,126.370003,126.370003,3202500
2022-04-12,126.419998,127.339996,125.580002,125.980003,125.980003,2691000
2022-04-13,125.639999,126.669998,124.910004,126.139999,126.139999,3064900
2022-04-14,128.929993,130.580002,126.379997,126.559998,126.559998,6382800
2022-04-18,126.599998,127.389999,125.529999,126.169998,126.169998,4884200
2022-04-19,126.080002,129.399994,126.000000,129.149994,129.149994,7971400
2022-04-20,135.000000,139.559998,133.380005,138.320007,138.320007,17859200
2022-04-21,138.229996,141.880005,137.350006,139.850006,139.850006,9922300
2022-04-22,139.699997,140.440002,137.350006,138.250000,138.250000,6505500
